exchange|name|fee|ticker
bitfinex|Bitcoin|0.0004|BTC
bitfinex|Ethereum|0.0027|ETH
bitfinex|Eos|0.19411|EOS
bitfinex|Litecoin|0.001|LTC
bitfinex|Ripple|0.02|XRP
bitfinex|Bitcoin Cash|0.0001|BCH
bitfinex|Iota|0.5|IOTA
bitfinex|Neo|0|NEO
bitfinex|Ethereum Classic|0.01|ETC
bitfinex|Monero|0.04|XMR
bitfinex|Omise Go|0.14026|OMG
bitfinex|Dash|0.01|DASH
bitfinex|Zcash|0.001|ZEC
bitfinex|Tron|33.873|TRX
bitfinex|Bitcoin Gold|0|BTG
bitfinex|Santiment|0.99269|SAN
bitfinex|Eidoo|0.58215|EDO
bitfinex|Etp|0.01|ETP
bitfinex|0x|1.9947|ZRX
bitfinex|Qtum|0.01|QTUM
bitfinex|Basic Attention Token|4.8746|BAT
bitfinex|Status|11.038|SNT
bitfinex|Augur|0.041168|REP
bitfinex|Qash|1.9858|QASH
bitfinex|Golem|4.6798|GNT
bitfinex|Aid Coin|6.0863|AID
bitfinex|Streamr|20.773|DATA
bitfinex|Yoyow|13.174|YYW
bitfinex|Time New Bank|39.532|TNB
bitfinex|Fun Fair|32.336|FUN
bitfinex|Spank Chain|8.5769|SPK
bitfinex|Aelf|1.8753|ELF
bitfinex|Singular Dtv|18.622|SNG
bitfinex|Ethfinex Nectar Token|1.6504|NEC
bitfinex|Decentraland|16.617|MNA
bitfinex|I Exec|1.414|RLC
bitfinex|Aventus|1.0075|AVT
bitfinex|Rcn|13.093|RCN
bitfinex|Loopring|1.35|LRC
bitfinex|Request Network|5.0094|REQ
bitfinex|Raiden|0.67502|RDN
bitfinex|Wax|5.7449|WAX
bitfinex|It|9.0|CFI
bitfinex|TetherUSD (Omni)|20|USD
bitfinex|TetherUSD (Ethereum ERC20)|1.0372|USD
bitfinex|TetherUSD (Ethereum ERC20)|0.84259|EUR
bittrex|Bitcoin|0.0005|BTC
bittrex|Ethereum|0.006|ETH
bittrex|Ripple|1|XRP
bittrex|Bitcoin Cash|0.001|BCH
bittrex|Litecoin|0.01|LTC
bittrex|Cardano|0.2|ADA
bittrex|Stellar|0.01|XLM
bittrex|NEO|0.025|NEO
bittrex|Monero|0.04|XMR
bittrex|TRON|1|TRX
bittrex|Dash|0.002|DASH
bittrex|Tether|25|USDT
bittrex|NEM|4|XEM
bittrex|Ethereum Classic|0.01|ETC
bittrex|Qtum|0.01|QTUM
bittrex|OmiseGO|0.35|OMG
bittrex|Verge|0.2|XVG
bittrex|Lisk|0.1|LSK
bittrex|Bitcoin Gold|0.001|BTG
bittrex|Zcash|0.005|ZEC
bittrex|Steem|0.01|STEEM
bittrex|DigixDAO|0.038|DGD
bittrex|BitShares|5|BTS
bittrex|Waves|0.001|WAVES
bittrex|Stratis|0.2|STRAT
bittrex|Siacoin|0.1|SC
bittrex|Dogecoin|2|DOGE
bittrex|Decred|0.1|DCR
bittrex|Status|20|SNT
bittrex|Augur|0.1|REP
bittrex|0x|1|ZRX
bittrex|Komodo|0.002|KMD
bittrex|Ardor|2|ARDR
bittrex|Loopring|1|LRC
bittrex|PIVX|0.02|PIVX
bittrex|Ark|0.1|ARK
bittrex|MonaCoin|0.2|MONA
bittrex|Basic Attention Token|10|BAT
bittrex|DigiByte|0.2|DGB
bittrex|Factom|0.01|FCT
bittrex|Golem|9|GNT
bittrex|FunFair|49|FUN
bittrex|Syscoin|0.0002|SYS
bittrex|ZCoin|0.02|XZC
bittrex|Nxt|2|NXT
bittrex|SALT|0.6|SALT
bittrex|ReddCoin|2|RDD
bittrex|MaidSafeCoin|2|MAID
bittrex|Byteball Bytes|0.002|GBYTE
bittrex|Power Ledger|5|POWR
bittrex|Bancor|0.85|BNT
bittrex|Enigma|1|ENG
bittrex|Storj|3|STORJ
bittrex|Emercoin|0.02|EMC
bittrex|TenX|2|PAY
bittrex|Vertcoin|0.02|VTC
bittrex|WAX|1|WAX
bittrex|Particl|0.1|PART
bittrex|Nexus|0.2|NXS
bittrex|Metal|1.35|MTL
bittrex|Decentraland|36|MANA
bittrex|ZenCash|0.002|ZEN
bittrex|Civic|8|CVC
bittrex|GameCredits|0.2|GAME
bittrex|Gnosis|0.02|GNO
bittrex|Monaco|0.5|MCO
bittrex|iExec RLC|3.5|RLC
bittrex|Blocknet|0.02|BLOCK
bittrex|BitcoinDark|0.02|BTCD
bittrex|Aragon|1.3|ANT
bittrex|Ignis|2|IGNIS
bittrex|SIRIN LABS Token|1|SRN
bittrex|Ubiq|0.01|UBQ
bittrex|NAV Coin|0.2|NAV
bittrex|Groestlcoin|0.2|GRS
bittrex|DigitalNote|0.01|XDN
